Jurisdiction,Office,Candidate Name,Affiliation,Financial Agent Name,Source Page,Result,Elected,Result Source,Notes
100 Mile House,Councillor,Donna Barnett,,Donna Barnett,1,,,,
100 Mile House,Councillor,Erin Filtness,,Erin Filtness,1,,,,
100 Mile House,Councillor,Aaron Fulber,,Aaron Fulber,1,,,,
100 Mile House,Councillor,Ryan Hindmarsh,,Ryan Hindmarsh,1,,,,
100 Mile House,Councillor,Ralf Holzapfel,,Ralf Holzapfel,1,,,,
100 Mile House,Councillor,Dave Mingo,,Dave Mingo,1,,,,
100 Mile House,Councillor,Marty Norgren,,Marty Norgren,1,,,,
100 Mile House,Councillor,Norm Knutsen,,Norm Knutsen,1,,,,
100 Mile House,Councillor,Darren Wilkinson,,Darren Wilkinson,1,,,,
100 Mile House,Councillor,Dave Wishnowski,,Dave Wishnowski,1,,,,
100 Mile House,Mayor,David Jurek,,David Jurek,1,,,,
100 Mile House,Mayor,Maureen Pinkney,,Maureen Pinkney,1,,,,
Abbotsford,Councillor,Les Barkman,,Les Barkman,1,,,,
Abbotsford,Councillor,Matthew Cavacece,,Matthew Cavacece,1,,,,
Abbotsford,Councillor,Patricia Driessen,Abbotsford Voice,Aagje Cluff,1,,,,
Abbotsford,Councillor,Carmen Fast Hollett,Abbotsford Voice,Aagje Cluff,2,,,,
Abbotsford,Councillor,Rupi Kanda-Rajwan,,Jennifer Sunderland,2,,,,
Abbotsford,Councillor,Jeremy Klix,,Jeremy Klix,2,,,,
Abbotsford,Councillor,Joel Madsen,,Joel Madsen,2,,,,
Abbotsford,Councillor,Kristy Mills,Abbotsford Voice,Aagje Cluff,2,,,,
Abbotsford,Councillor,Amrik Narang,,Karamjit Toor,2,,,,
Abbotsford,Councillor,Preet S. Rai,,Preet S. Rai,2,,,,
Abbotsford,Councillor,Patricia Ross,,Christine Eden,2,,,,
Abbotsford,Councillor,Dave Sidhu,,Markus Delves,2,,,,
Abbotsford,Councillor,Jag Sidhu,,Jeeven Dhillon,2,,,,
Abbotsford,Councillor,Rick Thiessen,,Rick Thiessen,2,,,,
Abbotsford,Councillor,Thomas Votik,,Thomas Votik,2,,,,
Abbotsford,Councillor,Mark Warkentin,,Mark Warkentin,2,,,,
Abbotsford,Councillor,Skully White,,Vincent Child,2,,,,
Abbotsford,Councillor,Shirley Wilson,,John Panktratz,2,,,,
Abbotsford,Councillor,Doris Woodman-McMillan,,Donald Fairholm,2,,,,
Abbotsford,Mayor,David Pellikaan,,David Pellikaan,2,,,,
Abbotsford,Mayor,Ross Siemens,,Marion Keys,2,,,,
Abbotsford School District,Board of Education Trustee,Peggy Antifaeff,,Peggy Antifaeff,3,,,,
Abbotsford School District,Board of Education Trustee,Tanya Coghill,,Tanya Coghill,3,,,,
Abbotsford School District,Board of Education Trustee,Chad Cowie,,Chad Cowie,3,,,,
Abbotsford School District,Board of Education Trustee,Graeme Hutchison,,Graeme Hutchison,3,,,,
Abbotsford School District,Board of Education Trustee,Arsh Kaler,,Rajan Buttar,3,,,,
Abbotsford School District,Board of Education Trustee,Freddy Latham,,Freddy Latham,3,,,,
Abbotsford School District,Board of Education Trustee,Benjamin Mehrer,,Cindy Birch,3,,,,
Abbotsford School District,Board of Education Trustee,Eric Nyvall,Abbotsford Conservatives,Eric Nyvall,3,,,,
Abbotsford School District,Board of Education Trustee,Tejvir Pandher,,Amanpreet Grewal,3,,,,
Abbotsford School District,Board of Education Trustee,Raj Patara,,Raj Patara,3,,,,
Abbotsford School District,Board of Education Trustee,Rhonda Pauls,,Christine Rempel,3,,,,
Abbotsford School District,Board of Education Trustee,Shannon Rose,,Shannon Rose,3,,,,
Abbotsford School District,Board of Education Trustee,Rajwinder Sandhu,,Rajwinder Sandhu,3,,,,
Abbotsford School District,Board of Education Trustee,Amandeep Singh,,Amandeep Singh,3,,,,
Abbotsford School District,Board of Education Trustee,Earl Storey,Abbotsford Conservatives,Earl Storey,3,,,,
Abbotsford School District,Board of Education Trustee,Vinay Waraich,,Sahijdeep Waraich,3,,,,
Abbotsford School District,Board of Education Trustee,Pamela Yee,,Pamela Yee,3,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Alan Anderson,,Alan Anderson,3,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Angus Barter,,Angus Barter,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Fred Boyko,,Fred Boyko,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Doug Fleming,,Doug Fleming,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Rob Frolic,,Rob Frolic,4,,,,
Alberni-Clayoquot Regional District,Electoral Area Director,Doug Herd,,Doug Herd,4,,,,
